Date,Day Count,Depth,SD,WT,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
03-May-04,1,1.554285714,0.533676471,30.76,16.04571429,16.84228571,,,,,,,,,,
18-Jun-04,47,1.764705882,0.472058824,29.67941176,21.96470588,58.40441176,7.465294118,8.054117647,97.30147059,5.264665882,0.880726471,7.257297059,0.374897059,50.29345882,33.10832559,1.301741176
19-Jul-04,78,1.583823529,0.335714286,30.3,19.7,99.528,6.400857143,8.171428571,161.852,5.046964286,0.820908571,5.374157143,0.598748571,15.50846714,33.57575429,3.250830769
26-Aug-04,116,1.847222222,0.551388889,32.03333333,10.2225,44.11611111,8.313888889,8.097777778,58.28416667,3.951383333,0.291048611,1.862919722,0.363444167,24.55404343,38.21972639,1.646745556
22-Sep-04,143,1.569166667,0.463888889,31.48888889,11.35527778,38.88941176,4.8,8.362222222,43.45088235,3.159919722,0.204780833,1.844023333,0.275743333,22.25135889,22.12929417,0.758185556
30-Oct-04,181,1.854166667,0.909722222,28.86666667,7.041111111,30.86888889,6.779722222,8.425,28.94444444,2.743211111,0.183641667,0.533871667,0.148584444,27.00801389,34.05882639,1.345953889
28-Nov-04,210,1.615277778,0.726388889,26.78055556,9.153611111,23.13028571,8.223055556,8.633333333,22.08972222,3.526558333,0.145774444,0.601047222,0.099656111,22.32243694,33.77490417,0.701683333
24-Dec-04,236,1.568888889,0.747777778,26.375,9.202777778,24.71222222,8.226944444,8.521111111,26.13777778,4.064027778,0.149748611,0.774082286,0.138236667,22.15619667,25.28786111,0.530835278
27-Jan-05,270,1.548611111,0.6125,24.13333333,11.54805556,29.122,7.580833333,8.620555556,41.82285714,2.971816111,0.177191667,0.608530556,0.164621111,25.36439222,43.04770333,0.537713333
24-Feb-05,298,1.388888889,0.8,29.45833333,12.59638889,22.61166667,9.601666667,8.89,24.79194444,1.319540278,0.0903125,0.969382424,0.139638056,19.19493889,25.23382833,0.298594167
30-Mar-05,332,1.323611111,0.348611111,29.68888889,14.74722222,121.3991667,7.316388889,8.440555556,190.1305556,0.718755,0.190243889,1.176683611,0.101630833,35.38111167,27.09337778,0.530151667
01-May-05,364,1.380555556,0.547222222,31.025,17.14888889,45.16111111,6.852222222,8.334444444,72.21944444,2.008635,0.283239722,1.526744722,0.395119167,20.98307667,28.54631556,0.956509444
27-May-05,390,1.639705882,0.517142857,31.75714286,21.04323529,44.79085714,7.380571429,8.037771429,77.99352381,3.405639143,0.260300571,1.81574,0.330013143,35.81356788,39.04330567,1.259643714
27-Jun-05,421,1.795833333,0.4825,29.44166667,24.685,46.80888889,5.865555556,8.163888889,133.3852778,1.361550833,0.433792222,1.628455,0.075892778,13.94637167,32.851475,0.258319444
31-Jul-05,455,1.916666667,0.65,29.75555556,18.38333333,92.68944444,7.3975,8.139166667,128.44,6.614686667,0.344761944,2.291884722,0.252298333,26.4491725,42.77820694,0.667881111
01-Sep-05,487,2.231428571,0.811764706,32.32,8.118,37.47228571,6.190571429,7.994571429,55.94955518,1.936503143,0.324604286,1.768822,1.398504286,26.34685743,19.34595286,2.103574857
30-Sep-05,516,2.340277778,0.623611111,30.47777778,4.757222222,77.96861111,6.310111111,8.282222222,70.82583333,3.249523333,0.637625278,7.240609167,0.185855556,64.86296528,36.74037333,0.434504333
22-Oct-05,538,2.119444444,0.613888889,28.66944444,5.5325,30.37333333,7.173888889,8.231666667,38.85805556,2.615613333,0.202985833,2.198012222,0.113341389,63.02494167,26.089315,0.290043333
27-Nov-05,574,1.918055556,0.773611111,25.51388889,6.579166667,17.68,7.593611111,8.359166667,38.85805556,2.699978611,0.124489444,0.759589722,0.150980556,55.49899639,26.37783583,0.388727778
30-Dec-05,607,1.823611111,0.829166667,23.67222222,6.001111111,14.97,8.040555556,8.368333333,22.57861111,2.213756111,0.139757778,0.558096286,0.126206111,56.09404083,21.69227389,0.367771111
30-Jan-06,638,1.5375,0.7125,25.34722222,7.809722222,14.23611111,8.030277778,8.406388889,31.39194444,3.136365833,0.171031111,0.775184444,0.140371429,46.41227667,16.98557972,0.397332857
01-Mar-06,668,1.479166667,0.551388889,28.10555556,10.1675,30.04722222,7.424722222,8.481944444,43.32694444,3.089147778,0.143125833,0.648947222,0.113370833,53.85477778,25.41205528,0.502113889
