,St. No,Depth,S.D,W.T,Salinity,Turbidity,DO,pH,TSM,NH4-N,NO2-N,NO3-N,PO4-P,SiO2-Si,TN,TP
0,1,1.0,1.0,29.5,10.0,5.21,8.37,9.05,18.0,1.5,0.45,4.2,6.3,1.5,,
1,2,2.25,0.5,30.0,10.4,16.0,6.9,8.27,23.2,9.9,0.39,1.04,4.5,8.0,19.1,11.6
2,3,2.5,0.5,29.6,11.8,13.7,6.79,8.27,26.8,11.2,0.3,0.79,6.0,12.0,18.6,11.6
3,4,1.85,,29.6,10.7,3.72,5.17,8.64,22.6,2.9,0.21,1.07,9.3,9.0,21.1,
4,5,1.5,1.5,29.3,11.7,4.22,6.46,8.7,18.0,2.3,0.41,1.09,6.6,8.0,29.1,10.8
5,6,2.25,1.0,30.1,12.6,7.46,6.18,8.3,22.2,12.6,0.41,1.28,2.57,10.8,30.0,
6,7,2.35,0.75,29.8,13.9,10.5,6.98,8.28,14.5,3.5,0.35,4.9,1.93,22.2,25.0,2.2
7,8,0.25,0.25,31.2,13.4,11.0,7.12,8.26,15.4,4.8,0.46,13.9,1.82,54.4,21.0,1.1
8,9,,,,,,,,,,,,,,,
9,10,2.5,0.5,30.1,15.1,9.72,6.54,8.31,11.2,4.2,0.63,11.59,4.09,44.9,,
10,11,0.75,0.75,29.0,14.8,4.48,8.36,8.53,9.44,6.6,0.4,5.78,0.96,16.2,11.4,1.59
11,12,1.75,0.5,30.6,15.5,19.2,6.73,8.38,19.2,4.7,0.44,6.09,3.0,49.1,21.0,1.1
12,13,2.15,1.0,28.5,17.6,6.68,6.82,8.35,1.279,9.6,0.58,4.9,1.98,45.18,,
13,14,1.25,0.75,28.6,18.0,11.7,4.87,8.39,14.5,8.2,0.49,16.53,1.17,15.03,2.0,
14,15,2.25,0.25,30.4,19.3,24.8,8.2,8.33,51.5,0.2,0.15,0.79,0.56,19.8,1.0,6.4
15,16,1.75,0.25,30.2,20.0,28.1,7.12,8.27,31.7,2.2,0.24,1.35,0.5,22.5,5.1,17.4
16,17,1.25,0.25,30.3,24.9,27.3,6.05,7.96,41.4,0.2,0.18,1.17,0.39,22.8,2.8,2.6
17,18,0.5,0.01,31.8,34.2,13.8,10.6,8.11,170.2,2.8,1.0,0.93,1.8,7.0,15.8,6.8
18,19,1.65,0.75,31.6,12.7,2.65,10.3,9.27,10.2,2.5,0.14,0.88,0.48,11.7,3.6,4.8
19,20,1.75,0.25,31.1,21.8,26.84,6.94,8.49,49.1,2.0,1.13,0.55,0.41,20.0,4.6,4.5
20,21,1.25,0.25,30.9,18.1,20.0,7.4,8.1,56.3,0.2,0.1,0.89,0.29,20.7,32.0,2.2
21,22,0.8,0.25,33.0,5.4,15.2,7.5,8.3,25.2,1.6,1.74,1.27,2.6,19.9,,2.9
22,23,1.25,1.25,30.1,7.0,1.8,6.0,9.61,18.8,0.5,0.23,1.24,6.9,27.9,2.5,
23,24,1.25,0.5,31.1,17.1,4.89,7.25,8.8,25.3,0.3,0.19,1.39,3.0,26.3,5.7,3.3
24,25,1.25,0.25,32.0,12.3,17.9,7.95,8.33,23.2,0.8,0.36,1.19,3.7,21.7,18.8,3.8
25,26,1.0,0.5,33.0,4.5,13.8,7.4,8.47,21.1,0.8,1.93,1.59,2.9,35.7,8.4,
26,27,0.75,0.015,34.2,4.5,52.4,7.75,8.5,113.0,0.9,1.1,9.1,1.7,80.0,7.4,
27,28,0.8,0.01,33.4,27.7,34.5,9.85,8.56,85.3,0.8,0.17,0.77,3.0,14.9,12.5,4.3
28,29,0.8,0.25,33.0,10.9,29.1,9.5,8.5,33.0,1.2,0.1,0.69,2.7,12.8,4.8,
29,30,0.75,0.35,32.6,6.4,28.4,7.59,8.3,27.0,3.6,0.52,2.5,2.6,12.0,7.7,
30,31,0.75,0.75,30.3,19.8,10.2,6.0,7.9,29.0,0.8,1.3,4.3,1.6,3.9,11.6,
31,32,0.75,0.25,31.9,14.2,28.5,6.75,8.17,36.8,1.4,0.3,1.3,3.7,32.0,8.0,
32,33,2.75,0.01,32.1,0.0,55.6,5.22,7.53,35.48,0.8,0.4,3.3,3.04,32.0,8.3,
33,34,2.25,0.5,30.2,35.0,14.8,7.92,8.22,29.4,5.0,0.2,1.08,0.4,4.3,19.8,1.7
34,35,3.25,1.0,28.5,35.0,9.43,6.04,8.09,19.9,5.1,0.3,1.1,0.5,6.6,24.8,1.9
35,36,3.25,1.25,29.0,35.3,5.88,6.66,8.13,9.4,4.1,0.18,0.4,0.6,6.8,15.8,11.4
0,1,0.65,0.25,32.4,18.6,14.4,6.5,8.0,85.08,6.35,0.48,7.12,0.6237,60.08,21.73,0.9995999999999999
1,2,2.25,0.25,29.5,19.1,58.7,7.1,8.08,69.88,3.15,0.8,4.367999999999999,0.5048999999999999,64.88,44.28,1.122
2,3,2.75,0.25,29.4,20.3,24.4,7.8,8.1,54.12,2.45,0.44,6.286,0.4752,80.0,31.98,0.7344
3,4,2.25,0.75,29.2,20.1,4.03,7.4,8.03,21.88,3.85,0.78,6.44,0.019799999999999984,48.84,52.89,0.9588
4,5,1.75,1.0,29.3,19.2,8.39,7.6,8.15,33.04,3.45,0.58,5.727999999999999,0.34650000000000003,72.4,26.65,1.0608
5,6,3.0,0.75,29.0,23.0,12.7,6.3,8.05,51.92,7.65,0.54,4.627999999999999,0.5841,36.8,12.3,1.1933999999999998
6,7,2.75,0.75,28.9,21.7,19.5,11.2,8.06,62.8,4.62,0.792,5.744,0.4680000000000001,40.915,12.992980000000001,0.816
7,8,0.75,0.75,29.3,20.9,4.4,11.8,8.36,40.4,4.927999999999999,0.21599999999999997,5.484,0.676,39.102000000000004,10.31261,1.0302
8,9,,,,,,,,,,,,,,,
9,10,3.0,1.75,29.0,25.3,16.4,9.92,8.02,52.8,3.6079999999999997,0.984,4.868,0.4680000000000001,43.02199999999999,18.67173,0.7343999999999999
10,11,0.25,0.15,29.9,20.1,34.1,11.7,8.2,167.2,3.96,0.624,5.494,0.676,43.071,10.08546,0.8669999999999999
11,12,2.5,1.0,28.6,24.0,8.36,6.9,8.01,42.16,3.967399999999999,0.44,5.4879999999999995,0.23759999999999998,44.4,25.01,1.0914000000000001
12,13,2.5,0.25,28.5,24.5,24.1,7.3,8.06,90.8,4.443999999999999,0.504,5.1579999999999995,0.676,38.22,17.30883,0.2444000000000001
13,14,0.75,0.5,28.7,23.3,17.7,7.6,7.95,51.6,7.3919999999999995,0.312,8.162,0.4680000000000001,60.123000000000005,10.08546,0.15980000000000003
14,15,2.5,0.35,29.5,26.4,25.4,6.5,8.01,83.52,2.0592,1.482,5.8519999999999985,0.17820000000000003,59.64,17.63,0.7426
15,16,2.25,0.25,29.7,24.7,52.8,6.6,8.0,112.16,13.780800000000001,1.5389999999999997,1.4630000000000005,0.2475,67.8192,6.88,0.3384
16,17,1.5,0.25,30.5,27.7,36.4,7.6,7.96,113.16,10.335600000000001,1.9,3.914,0.1584,65.77439999999999,19.35,0.5828
17,18,1.0,0.1,28.8,30.5,108.0,9.6,8.02,78.96,11.5544,1.5096,15.376499999999998,0.4437,11.931,82.08,1.6544000000000003
18,19,2.25,1.25,31.2,24.5,5.9,3.5,8.25,69.4,5.860800000000001,0.608,6.612,0.40590000000000004,55.7776,24.51,1.2502000000000002
19,20,2.25,0.25,31.4,27.2,43.8,7.6,8.01,136.92,6.811200000000002,0.209,6.593,0.26730000000000004,44.133599999999994,19.35,1.4664000000000004
20,21,1.75,0.25,30.5,32.0,59.4,6.0,7.88,151.24,0.5147999999999999,1.3490000000000002,7.5809999999999995,0.21780000000000002,14.8816,47.3,1.5697999999999999
21,22,1.4,0.1,30.4,29.9,117.0,7.04,8.16,125.2,4.7550799999999995,0.204,10.7202,0.4958999999999999,16.277,77.9,1.6638000000000002
22,23,1.75,1.75,29.6,14.7,4.37,5.5,8.77,60.28,3.685,0.6129,0.5651000000000002,0.27,51.4556,38.61,1.3920000000000001
23,24,1.75,0.25,29.4,23.9,49.7,6.6,8.07,92.92,5.005,0.1589,0.9811000000000001,0.45,83.8712,33.0,1.008
24,25,1.75,0.15,29.6,24.2,54.9,7.1,8.0,92.92,5.5,0.5448,4.4712,0.27,63.6412,29.37,3.4080000000000004
25,26,1.5,0.15,29.6,25.7,180.0,6.3,7.9,251.28,5.28,1.7479,3.8760999999999997,0.135,58.3576,49.17,1.3920000000000001
26,27,1.25,0.25,29.6,26.7,41.7,7.3,7.92,66.84,8.1872,2.3035,16.643300000000004,0.06859999999999992,35.724,14.518,2.9516
27,28,1.5,0.15,30.2,20.9,173.0,6.5,7.88,149.32,4.4,0.11349999999999998,0.7605000000000002,0.45,54.0736,22.11,2.112
28,29,1.5,0.15,30.0,13.7,118.0,8.1,8.16,160.6,2.805,0.4086,1.5294,0.27,52.36,25.41,2.8320000000000007
29,30,1.25,0.75,29.9,7.1,20.5,8.9,8.43,27.24,3.5224000000000006,0.24390000000000003,16.445700000000002,0.1665999999999999,48.776999999999994,48.678,0.9869999999999999
30,31,1.25,0.25,29.5,19.5,34.5,7.3,7.8,12.84,5.0932,2.8726000000000003,16.6214,0.45080000000000003,29.953199999999995,46.11599999999999,2.585
31,32,1.25,0.75,30.4,8.5,21.0,5.8,8.12,37.44,2.6180000000000003,0.08130000000000008,12.9147,0.21559999999999993,62.56279999999999,43.981,0.6204000000000001
32,33,3.75,0.0,29.8,0.4,353.0,6.3,7.37,273.33,8.568,1.4634,12.079800000000002,0.735,106.256,55.083,2.1244000000000005
33,34,0.2,0.15,29.0,28.0,86.2,6.56,8.05,200.2,4.8884,1.4892,13.540500000000002,0.3045,39.401,65.74,1.7578000000000003
34,35,1.25,0.1,28.8,30.5,153.0,8.0,8.01,188.8,3.9551600000000002,1.6116,13.239600000000003,0.3219,15.457,64.6,0.8084
35,36,,,,,,,,,,,,,,,
0,1,0.2,0.2,30.7,23.2,29.7,7.9,8.63,56.46,4.23,0.3262,2.4376999999999995,1.0164,19.43556,29.124550000000006,3.9872
1,2,2.3,0.0,30.6,22.2,108.0,6.6,8.14,159.8,3.69,0.3728,0.8592999999999995,0.8316,11.69612,22.2222,3.6736
2,3,2.5,0.15,30.7,23.7,97.8,9.1,8.16,116.03,5.49,0.30290000000000006,1.5285999999999995,0.32339999999999997,13.6962,20.201999999999998,3.2704000000000004
3,4,2.25,1.0,30.3,22.5,7.25,9.3,8.3,26.7,0.945,0.6524,1.3788999999999998,0.5082,15.652800000000001,30.80805000000001,4.0768
4,5,1.6,1.5,30.4,22.3,4.9,7.4,8.39,18.9,0.18,0.4427,1.9215999999999993,0.6467999999999999,10.956959999999999,35.85855,3.2256
5,6,3.0,0.5,31.0,23.8,19.8,6.1,8.19,42.09,2.25,0.5126,1.4187999999999998,0.5544,6.174159999999999,32.49155000000001,3.4943999999999997
6,7,2.8,0.75,30.2,23.4,15.0,6.93,8.07,80.0,12.048,0.11349999999999998,10.534499999999998,1.3795000000000002,8.908199999999999,38.06,
7,8,0.75,0.75,30.5,21.3,1.02,7.41,8.45,80.6,11.711999999999998,0.15889999999999999,18.8051,1.8244999999999998,20.316150000000004,66.778,
8,9,,,,,,,,,,,,,,,
9,10,3.0,1.0,30.7,23.4,6.89,5.64,8.16,62.28,9.408,0.227,9.189,0.9790000000000003,7.544700000000001,34.946,
10,11,0.35,0.35,29.7,22.1,3.39,6.45,8.4,43.68,21.215999999999998,0.11349999999999998,10.0945,0.13350000000000012,13.453200000000002,71.62200000000001,
11,12,2.35,0.5,29.8,23.3,16.8,6.77,8.17,50.6,11.711999999999998,0.1816,8.1344,0.4005000000000001,11.180700000000002,55.70600000000002,
12,13,2.35,0.35,30.4,23.4,7.55,7.25,8.23,57.08,7.536,0.0908,2.109199999999999,0.5784999999999999,12.680550000000002,55.70600000000002,
13,14,0.75,0.75,29.7,20.1,8.58,5.48,8.02,65.16,9.36,0.1816,7.562399999999998,2.5364999999999998,4.9540500000000005,38.406000000000006,
14,15,2.3,0.15,30.2,23.2,155.0,6.4,8.19,170.4,5.943800000000001,0.40599999999999997,2.825,0.8910000000000001,14.2956,38.06,1.4384
15,16,2.0,0.0,30.0,22.9,202.0,5.2,8.25,306.8,0.2104000000000002,0.7511,2.3722,0.8415,22.99,48.95900000000001,1.2759999999999998
16,17,1.0,0.0,30.5,20.0,408.0,3.5,8.24,313.1,1.2623999999999997,0.8729,1.3887999999999998,1.188,17.723200000000002,32.69700000000001,2.8884
17,18,0.85,0.15,29.5,19.0,70.8,9.6,8.05,104.2,2.112000000000002,2.3205,9.637800000000002,0.11330000000000003,27.085499999999996,49.61,0.34959999999999997
18,19,2.0,0.5,31.6,22.9,26.6,6.4,8.26,54.4,0.31560000000000027,0.5887,1.9602000000000002,0.594,10.658999999999999,23.182000000000002,0.348
19,20,1.75,0.0,30.8,22.3,276.0,6.7,8.04,400.4,0.15780000000000013,0.30450000000000005,2.0649,0.6435,8.8616,9.515,0.8352
20,21,1.25,0.0,30.0,22.7,289.0,6.4,8.08,370.8,0.4320000000000004,2.6593,18.3617,0.6144,18.7374,6.8179999999999925,
21,22,1.25,0.5,30.2,20.0,12.8,10.4,8.18,22.1,3.551999999999998,1.911,5.171100000000001,0.0103,22.8722,52.48,0.34959999999999997
22,23,1.25,1.25,30.4,20.0,9.3,3.3,8.56,20.8,5.52,0.020300000000000002,1.7287000000000006,0.3456,9.7053,9.89,
23,24,1.25,0.15,30.2,20.9,81.3,4.6,8.01,100.66,6.336000000000002,0.06089999999999999,1.7871,0.2784,6.6758999999999995,12.175,1.33
24,25,1.5,0.1,30.4,17.0,193.0,6.9,7.95,233.9,1.92,1.5225,4.9125,0.5952,14.361600000000001,51.865500000000004,9.97
25,26,1.5,0.1,30.3,14.4,230.0,7.4,7.9,277.4,3.3120000000000003,1.1165,6.935500000000001,0.7103999999999999,14.922600000000001,13.149,10.32
26,27,0.75,0.0,31.5,14.0,336.0,6.1,8.03,451.9,,2.08,7.6370000000000005,0.2548,28.7,26.5625,5.37
27,28,1.0,0.15,30.9,16.9,95.5,5.3,8.17,178.52,2.6879999999999997,0.10149999999999999,1.9115,0.432,8.5833,19.67,1.27
28,29,1.0,0.1,30.5,15.8,77.0,6.1,8.2,107.88,2.7359999999999998,0.040600000000000004,1.6094000000000006,0.42239999999999994,8.8077,20.26,1.56
29,30,1.25,0.0,30.5,15.0,311.0,5.9,8.13,1139.16,,0.58,2.7409999999999997,0.11760000000000001,25.865,12.5375,1.98
30,31,0.75,0.15,30.7,11.0,78.5,7.5,8.15,123.4,,1.52,2.334,0.11760000000000001,20.12,9.35,5.96
31,32,0.75,0.1,31.0,13.0,62.8,5.6,8.39,76.48,,0.34,3.6370000000000005,0.20579999999999998,19.77,30.3875,2.94
32,33,3.0,0.1,30.7,0.0,71.7,3.2,7.68,66.2,,1.58,22.241,0.5586,16.1,45.2625,13.44
33,34,,0.25,28.5,20.1,21.3,7.7,7.94,38.58,5.04,1.4429999999999998,1.9239000000000004,0.0721,22.825899999999997,37.31,0.3771999999999999
34,35,1.0,0.1,28.5,21.0,66.0,3.5,8.15,121.6,,2.2815,3.871800000000001,0.10300000000000001,23.057399999999998,42.23,0.34959999999999997
35,36,2.25,0.1,28.9,22.7,83.2,4.0,8.14,126.76,,2.5545,5.069400000000001,0.1339,23.427799999999998,51.25,0.4416
0,1,0.85,0.85,33.6,18.5,3.46,7.5,8.1,18.75,0.3873099999999994,0.20489999999999994,0.8635800000000001,0.18899999999999997,0.8694000000000002,25.113,0.43869999999999976
1,2,2.25,0.75,33.0,21.2,8.27,5.6,8.3,25.82,0.3873099999999994,0.22538999999999998,0.88125,0.18899999999999997,2.3436,34.4733,0.32099999999999995
2,3,3.0,0.75,33.3,24.5,7.8,8.0,8.1,19.28,1.4083999999999994,0.24588,1.2423599999999997,0.10800000000000004,2.6838,34.245,0.4066
3,4,2.25,1.75,32.9,22.3,2.62,8.0,8.3,16.94,2.4999100000000003,0.20489999999999994,0.5964599999999999,0.14400000000000002,1.9656,35.84309999999999,0.4707999999999998
4,5,2.0,2.0,32.0,19.0,1.07,9.1,8.3,15.62,2.6055400000000004,0.16391999999999998,0.5992799999999998,0.225,4.9517999999999995,26.9394,0.32099999999999995
5,6,3.0,0.5,31.0,22.5,7.58,8.0,8.1,22.96,2.6407500000000006,0.16391999999999998,0.71376,0.261,1.9278,27.6243,0.21399999999999988
6,7,3.0,0.75,30.4,21.0,2.33,9.0,8.2,17.0,0.9282000000000009,0.040979999999999996,0.5263799999999998,0.027,2.07,22.2775,0.92481
7,8,0.85,0.85,30.5,21.0,3.52,9.0,8.1,28.2,8.574800000000002,0.10245,0.25215,0.09899999999999999,7.13,11.725,0.7547300000000001
8,9,1.0,0.5,31.2,21.2,6.53,3.0,8.0,17.63,8.177,0.16391999999999998,0.68712,0.135,8.004,34.505,1.02048
9,10,3.0,1.0,31.1,22.5,3.16,9.6,8.2,31.88,2.8288,0.12293999999999998,0.23165999999999998,0.252,4.185999999999999,12.2275,0.6590600000000001
10,11,0.5,0.5,30.0,19.5,6.98,10.1,8.1,46.8,8.751600000000002,0.08195999999999999,0.3790200000000001,0.135,4.83,27.805,1.7220600000000001
11,12,2.5,1.0,31.0,19.0,2.6,7.7,7.7,18.82,2.35907,0.26637,0.9547499999999998,0.18899999999999997,4.725,26.0262,0.4707999999999998
12,13,2.5,1.0,30.1,16.12,8.7,9.0,8.7,23.72,1.8563999999999994,0.08195999999999999,0.3081,0.17099999999999999,12.19,57.62,0.3826800000000001
13,14,0.65,0.65,30.0,20.0,8.51,8.2,8.0,33.04,7.027800000000002,0.16391999999999998,0.33982999999999997,0.15299999999999997,12.741999999999999,54.1025,1.7858400000000003
14,15,2.5,0.75,30.6,13.0,6.08,5.8,8.3,14.92,0.0,0.3165,1.0595999999999999,0.9482000000000002,15.132000000000001,19.256999999999998,1.51088
15,16,2.25,0.75,31.6,15.26,5.07,12.0,8.3,16.4,1.67895,0.18989999999999999,1.41555,0.6465,16.12,18.8902,1.2496
16,17,1.5,0.5,32.1,0.09,8.31,8.6,8.3,16.07,0.22386000000000023,0.2321,1.6026999999999996,0.7327000000000001,36.4,16.872799999999998,1.3745599999999998
17,18,1.0,0.1,33.3,1.2,50.1,6.2,7.7,53.7,3.9997999999999996,0.568,3.2431399999999995,0.8947100000000001,61.52523,63.74400000000001,1.22766
